start_place_name,end_place_name,month,count
Assistentinpolku,Linja-autoasema,2020-03,12
Assistentinpolku,Martti,2018-05,8
Assistentinpolku,Martti,2018-07,5
Assistentinpolku,Martti,2018-08,3
Assistentinpolku,Martti,2018-09,4
Assistentinpolku,Martti,2018-10,8
Assistentinpolku,Martti,2018-11,2
Assistentinpolku,Martti,2018-12,4
Assistentinpolku,Martti,2019-02,1
Assistentinpolku,Martti,2019-03,6
Assistentinpolku,Martti,2019-04,2
Assistentinpolku,Martti,2019-05,9
Assistentinpolku,Martti,2019-08,1
Assistentinpolku,Martti,2019-09,5
Assistentinpolku,Martti,2019-10,7
Assistentinpolku,Martti,2019-11,5
Assistentinpolku,Martti,2020-01,1
Assistentinpolku,Martti,2020-02,2
Assistentinpolku,Martti,2020-03,6
Assistentinpolku,Merimiehenkatu,2018-05,24
Assistentinpolku,Merimiehenkatu,2018-06,17
Assistentinpolku,Merimiehenkatu,2018-07,20
Assistentinpolku,Merimiehenkatu,2018-08,27
Assistentinpolku,Merimiehenkatu,2018-09,6
Assistentinpolku,Merimiehenkatu,2018-10,9
Assistentinpolku,Merimiehenkatu,2018-11,11
Assistentinpolku,Merimiehenkatu,2018-12,1
Assistentinpolku,Merimiehenkatu,2019-01,1
Assistentinpolku,Merimiehenkatu,2019-02,2
Assistentinpolku,Merimiehenkatu,2019-03,3
Assistentinpolku,Merimiehenkatu,2019-04,6
Assistentinpolku,Merimiehenkatu,2019-05,5
Assistentinpolku,Merimiehenkatu,2019-06,3
Assistentinpolku,Merimiehenkatu,2019-08,6
Assistentinpolku,Merimiehenkatu,2019-09,8
Assistentinpolku,Merimiehenkatu,2019-10,10
Assistentinpolku,Merimiehenkatu,2019-11,4
Assistentinpolku,Merimiehenkatu,2019-12,3
Assistentinpolku,Merimiehenkatu,2020-01,7
Assistentinpolku,Merimiehenkatu,2020-02,2
Assistentinpolku,Merimiehenkatu,2020-03,1
Assistentinpolku,Orion,2019-08,1
Assistentinpolku,Orion,2019-09,1
Assistentinpolku,Piispankatu,2018-05,11
Assistentinpolku,Piispankatu,2018-06,12
Assistentinpolku,Piispankatu,2018-07,5
Assistentinpolku,Piispankatu,2018-08,14
Assistentinpolku,Piispankatu,2018-09,18
Assistentinpolku,Piispankatu,2018-10,12
Assistentinpolku,Piispankatu,2018-11,30
Assistentinpolku,Piispankatu,2018-12,10
Assistentinpolku,Piispankatu,2019-01,5
Assistentinpolku,Piispankatu,2019-02,6
Assistentinpolku,Piispankatu,2019-03,12
Assistentinpolku,Piispankatu,2019-04,16
Assistentinpolku,Piispankatu,2019-05,11
Assistentinpolku,Piispankatu,2019-06,13
Assistentinpolku,Piispankatu,2019-07,6
Assistentinpolku,Piispankatu,2019-08,7
Assistentinpolku,Piispankatu,2019-09,4
Assistentinpolku,Piispankatu,2019-10,9
Assistentinpolku,Piispankatu,2019-11,7
Assistentinpolku,Piispankatu,2019-12,1
Assistentinpolku,Piispankatu,2020-02,3
Assistentinpolku,Piispankatu,2020-03,4
Assistentinpolku,Piispankatu,2020-04,2
Assistentinpolku,Popup 1,2018-05,3
Assistentinpolku,Popup 1,2018-06,2
Assistentinpolku,Popup 1,2018-07,2
Assistentinpolku,Popup 1,2018-09,7
Assistentinpolku,Popup 1,2018-10,11
Assistentinpolku,Popup 1,2018-11,11
Assistentinpolku,Popup 1,2018-12,3
Assistentinpolku,Popup 1,2019-08,1
Assistentinpolku,Popup 1,2019-09,1
Assistentinpolku,Popup 1,2020-02,6
Assistentinpolku,Popup 1,2020-03,1
Assistentinpolku,Popup 2,2018-05,9
Assistentinpolku,Popup 2,2018-06,7
Assistentinpolku,Popup 2,2018-07,2
Assistentinpolku,Popup 2,2018-10,44
Assistentinpolku,Popup 2,2018-11,45
Assistentinpolku,Popup 2,2018-12,24
Assistentinpolku,Popup 2,2019-04,1
Assistentinpolku,Popup 2,2019-05,1
Assistentinpolku,Popup 2,2019-06,1
Assistentinpolku,Popup 2,2019-07,2
Assistentinpolku,Portsa,2019-07,4
Assistentinpolku,Portsa,2019-08,22
Assistentinpolku,Portsa,2019-09,16
Assistentinpolku,Portsa,2019-10,23
Assistentinpolku,Portsa,2019-11,4
Assistentinpolku,Portsa,2019-12,4
Assistentinpolku,Portsa,2020-01,5
Assistentinpolku,Portsa,2020-02,10
Assistentinpolku,Portsa,2020-03,2
Assistentinpolku,Puistokatu,2018-07,3
Assistentinpolku,Puistokatu,2018-08,2
Assistentinpolku,Puistokatu,2018-09,8
Assistentinpolku,Puistokatu,2018-10,8
Assistentinpolku,Puistokatu,2018-11,10
Assistentinpolku,Puistokatu,2018-12,6
Assistentinpolku,Puistokatu,2019-01,7
Assistentinpolku,Puistokatu,2019-02,3
Assistentinpolku,Puistokatu,2019-03,18
Assistentinpolku,Puistokatu,2019-04,12
Assistentinpolku,Puistokatu,2019-05,5
Assistentinpolku,Puistokatu,2019-06,8
Assistentinpolku,Puistokatu,2019-07,2
Assistentinpolku,Puistokatu,2019-08,3
Assistentinpolku,Puistokatu,2019-09,7
Assistentinpolku,Puistokatu,2019-10,10
Assistentinpolku,Puistokatu,2019-11,5
Assistentinpolku,Puistokatu,2019-12,6
Assistentinpolku,Puistokatu,2020-01,2
Assistentinpolku,Puistokatu,2020-02,4
Assistentinpolku,Puutori,2018-05,6
Assistentinpolku,Puutori,2018-06,4
Assistentinpolku,Puutori,2018-07,4
Assistentinpolku,Puutori,2018-08,6
Assistentinpolku,Puutori,2018-09,11
Assistentinpolku,Puutori,2018-10,40
Assistentinpolku,Puutori,2018-11,26
